"";"item";"party";"region";"median";"mean";"median_integer";"median_conservative";"sd";"lower_quantile";"upper_quantile";"lower_ci";"upper_ci";"n"
"45";"antiestablishment";"cdu";"st";5;4,76923076923077;5;5;3,15330514434194;1;10,4;3,46761037887445;6,07085115958709;25
"46";"antiestablishment";"fdp";"st";4,5;4,625;5;5;4,30754513092377;1;13,7;2,13789748761039;7,11210251238961;14
"47";"antiestablishment";"greens";"st";5;5,90909090909091;5;5;3,866938889389;1;13,75;4,04528602482731;7,77289579335451;19
"48";"antiestablishment";"left";"st";14;14,0833333333333;14;14;4,17875059338783;3;19,425;12,3188017114877;15,847864955179;24
"49";"antiestablishment";"spd";"st";6;5,58333333333333;6;6;3,67497411999169;1;13,425;4,03152785959905;7,13513880706762;24
"50";"peopledecision";"afd";"st";18;17,6;18;18;6,23656450636929;1,475;20;14,681197964452;20,518802035548;20
"51";"peopledecision";"bsw";"st";18;17,375;18;18;2,5858873113137;13;20;15,8819531175532;18,8680468824468;14
"52";"peopledecision";"cdu";"st";4,5;5,1;5;5;2,83771590878075;1,475;10,525;3,77190807336361;6,42809192663639;20
"53";"peopledecision";"fdp";"st";4,5;4,5;5;5;4,03018910752638;2;13,725;1,93934000686762;7,06065999313238;12
"54";"peopledecision";"greens";"st";11;10;11;11;4,97419813224438;2;16,6;7,44250331245354;12,5574966875465;17
"55";"peopledecision";"left";"st";14;13,6363636363636;14;14;4,85701999942905;4;17;11,2953549323621;15,9773723403652;19
"56";"peopledecision";"spd";"st";9;8;9;9;3,51936995956388;2,45;13;6,30371797750282;9,69628202249718;19
"57";"genderlanguage";"afd";"st";1;1;1;1;3,67636634677089;1;9,59999999999997;-0,454322090322207;2,45432209032221;27
"58";"genderlanguage";"bsw";"st";4;3,33333333333333;4;4;3,84460041889302;1;12,9;1,20426458665782;5,46240208000885;15
"59";"genderlanguage";"cdu";"st";3;3,46666666666667;3;3;3,58415315606823;1;13;2,04882289966927;4,88451043366406;27
"60";"genderlanguage";"fdp";"st";9;8,375;9;9;4,16283156837587;3;16;6,15678363633584;10,5932163636642;16
"61";"genderlanguage";"greens";"st";19;18,3076923076923;19;19;2,58377424092416;11,55;20;17,1903845403637;19,4250000750209;23
"62";"genderlanguage";"left";"st";16;17;16;16;3,74922214154705;7,2;20;15,4523971629674;18,5476028370326;25
"63";"genderlanguage";"spd";"st";11,5;11,5714285714286;12;11;2,78567765543682;8,25;18,125;10,4462690164158;12,6965881264414;26
"64";"liberalism";"afd";"st";20;19,6666666666667;20;20;0,923721207705668;17;20;19,2766134092779;20,0567199240554;24
"65";"liberalism";"bsw";"st";13,5;14;14;13;3,12469778758463;9,325;19,35;12,1958532106445;15,8041467893555;14
"66";"liberalism";"cdu";"st";15;15,5384615384615;15;15;2,83313724811677;10,6;19,4;14,3689999602049;16,7079231167181;25
"67";"liberalism";"fdp";"st";7;6,22222222222222;7;7;3,41170131786957;1,8;13,2;4,4680872667229;7,97635717772154;17
"68";"liberalism";"greens";"st";2;2,36363636363636;2;2;2,40634083007295;1;8;1,26828315021957;3,45898957705316;21
"69";"liberalism";"left";"st";2,5;2,5;3;3;2,05813768633946;1;7;1,58747287105558;3,41252712894442;22
"70";"liberalism";"spd";"st";7;7,33333333333333;7;7;2,61960280206365;3,575;11,425;6,22717208307091;8,43949458359575;24
"71";"lawandorder";"afd";"st";19;19,2727272727273;19;19;1,75797502555531;14,5;20;18,4725066351171;20,0729479103375;21
"72";"lawandorder";"bsw";"st";15;14,4285714285714;15;15;4,4802597327306;4,25;18;11,4186919853146;17,4384508718283;11
"73";"lawandorder";"cdu";"st";17;16,4166666666667;17;17;2,51919041485957;11,525;19,475;15,2997202097828;17,5336131235506;22
"74";"lawandorder";"fdp";"st";9;9;9;9;4,82723500590118;2,325;16;6,21283748720766;11,7871625127923;14
"75";"lawandorder";"greens";"st";5;5;5;5;2,80362160742976;1,4;10,8;3,5585107823399;6,4414892176601;17
"76";"lawandorder";"left";"st";5,5;5;5;6;3,29073659967203;1,475;11,675;3,45988786362019;6,54011213637981;20
"77";"lawandorder";"spd";"st";11;10,5454545454545;11;11;3,04098981379732;5,5;16;9,16121257819771;11,9296965127114;21
"78";"dem";"afd";"st";1;1;1;1;0,645497224367903;1;2,8;0,733551841418441;1,26644815858156;25
"79";"dem";"bsw";"st";7;6,71428571428571;7;7;3,67052138976567;1,25;11;4,24839589178724;9,18017553678419;11
"80";"dem";"cdu";"st";8;8,69230769230769;8;8;3,41223289552946;2,8;15;7,28380717930308;10,1008082053123;25
"81";"dem";"fdp";"st";9;9,25;9;9;3,27494652250609;4,325;15;7,35910217385934;11,1408978261407;14
"82";"dem";"greens";"st";19;18,8181818181818;19;19;1,72101852456758;14,5;20;18,0347835781338;19,6015800582299;21
"83";"dem";"left";"st";18;18,75;18;18;2,27398233744145;12,525;20;17,7417727140275;19,7582272859725;22
"84";"dem";"spd";"st";14;15;14;14;3,16885889030526;10,15;20;13,6619082445461;16,3380917554539;24
"85";"assimilation";"afd";"st";20;20;20;20;0,45769658728016;18,55;20;19,8020771536661;20,1979228463339;23
"86";"assimilation";"bsw";"st";17;17,3333333333333;17;17;2,16684980910955;13,35;20;16,1333719057051;18,5332947609616;15
"87";"assimilation";"cdu";"st";18;17,2307692307692;18;18;2,24928622846213;12,1;19,45;16,2581049266669;18,2034335348716;23
"88";"assimilation";"fdp";"st";13;12,6666666666667;13;13;3,46738046264428;8;17,725;10,46359822626;14,8697351070733;12
"89";"assimilation";"greens";"st";3;3,63636363636364;3;3;1,79016154650163;1;6,55;2,77353339015879;4,49919388256848;19
"90";"assimilation";"left";"st";3;3,72727272727273;3;3;2;1,5;8;2,81688364212922;4,63766181241624;21
"91";"assimilation";"spd";"st";10;10,25;10;10;2,58031173659476;5,575;13,475;9,10595386722439;11,3940461327756;22
"92";"immigration";"afd";"st";20;20;20;20;0,276887462097269;19;20;19,8857064730489;20,1142935269511;25
"93";"immigration";"bsw";"st";17;17,3333333333333;17;17;1,92124346988825;13,8;20;16,3455210911233;18,3211455755434;17
"94";"immigration";"cdu";"st";16;16,2857142857143;16;16;2,14977637477447;13;20;15,4174008164594;17,1540277549692;26
"95";"immigration";"fdp";"st";13;13,3333333333333;13;13;3,56170103822798;6;16,65;11,3609290417903;15,3057376248764;15
"96";"immigration";"greens";"st";4,5;5,08333333333333;5;5;2,49371504358752;2;9,475;3,97768202329989;6,18898464336678;22
"97";"immigration";"left";"st";5;4,53846153846154;5;5;2,03234711174265;1,55;8,45;3,65960874323986;5,41731433368322;23
"98";"immigration";"spd";"st";11;11,3846153846154;11;11;2,69072480941474;7,6;15,8;10,2739387718378;12,495291997393;25
"99";"refugees";"afd";"st";20;20;20;20;0;20;20;20;20;24
"100";"refugees";"bsw";"st";17;16,7142857142857;17;17;3,49908412925293;9,2;20;14,5998103371688;18,8287610914027;13
"101";"refugees";"cdu";"st";14;14,3846153846154;14;14;2,63976882446935;11;19,45;13,2430937435928;15,5261370256379;23
"102";"refugees";"fdp";"st";13;12,5714285714286;13;13;3,95658254741961;3,75;15,75;9,91336024828498;15,2294968945722;11
"103";"refugees";"greens";"st";4;3,8;4;4;2,48945142974364;1,475;9,575;2,63490086679731;4,96509913320269;20
"104";"refugees";"left";"st";3;3;3;3;1,84476612483425;1;6,9;2,20226330631549;3,79773669368451;23
"105";"refugees";"spd";"st";8;8,69230769230769;8;8;3,69220951019761;4,1;16,45;7,0956765706688;10,2889388139466;23
"106";"publicdebt";"afd";"st";15;12,5714285714286;15;15;7,37285388156949;1;20;8,116057561247;17,0267995816101;13
"107";"publicdebt";"bsw";"st";3;5;3;3;5,87164291116128;1;15,8;-0,43036398202927;10,4303639820293;7
"108";"publicdebt";"cdu";"st";17;15,2727272727273;17;17;5,21300667527783;4;20;12,7601384832477;17,7853160622069;19
"109";"publicdebt";"fdp";"st";18;17,6666666666667;18;18;6,1653151672166;3,025;20;13,2562658843126;22,0770674490207;10
"110";"publicdebt";"greens";"st";6;5,875;6;6;5,18812747209113;1,375;18,5;3,1104420143263;8,6395579856737;16
"111";"publicdebt";"left";"st";1,5;1,625;2;2;5,73875712444196;1;18;-1,43296781624243;4,68296781624243;16
"112";"publicdebt";"spd";"st";8,5;8,9;9;9;4,6163251094718;3,425;19,15;6,60435553077209;11,1956444692279;18
"113";"labour";"afd";"st";18;17,9166666666667;18;18;2,28158447260401;13,525;20;16,9050687827892;18,9282645505442;22
"114";"labour";"bsw";"st";6;6;6;6;4,18636369963731;2;15,5;3,47020573511352;8,52979426488648;13
"115";"labour";"cdu";"st";17;16,3076923076923;17;17;2,37327012099206;12,55;20;15,2814133479621;17,3339712674225;23
"116";"labour";"fdp";"st";19;18,6666666666667;19;19;1,24594580635795;16,35;20;17,9766848773155;19,3566484560179;15
"117";"labour";"greens";"st";6,5;6,6;7;7;2,42872246468334;2,425;9,575;5,39222473263417;7,80777526736583;18
"118";"labour";"left";"st";2;2,3;2;2;1,4964871146156;1;5,525;1,59962247133812;3,00037752866188;20
"119";"labour";"spd";"st";8;8;8;8;2,49426219021132;4,55;14;6,92140014605904;9,07859985394096;23
"120";"econdef";"afd";"st";10;10,4444444444444;10;10;6,61937885836641;1,4;20;7,04107388022273;13,8478150086662;17
"121";"econdef";"bsw";"st";2;2,125;2;2;5,06875800293402;1;15,675;-0,801613739526543;5,05161373952654;14
"122";"econdef";"cdu";"st";16;16,5454545454545;16;16;3,81538239985756;6,5;20;14,8087132992151;18,282195791694;21
"123";"econdef";"fdp";"st";18;17,8;18;18;2,94863433549236;10,8;19;15,5334790097165;20,0665209902835;9
"124";"econdef";"greens";"st";6;6,375;6;6;4,14728827066554;2;14;4,16506607504614;8,58493392495386;16
"125";"econdef";"left";"st";2;2,18181818181818;2;2;1,73879033033471;1;6;1,34374806923354;3,01988829440282;19
"126";"econdef";"spd";"st";12,5;12,5;13;12;3,80304587071164;4,9;18;10,7201197442312;14,2798802557688;20
"127";"publicinvest";"afd";"st";6;5,72727272727273;6;6;4,71825229951777;1;16,5;3,5795500300556;7,87499542448985;21
"128";"publicinvest";"bsw";"st";13;12,25;13;13;5,15048274703183;2,325;19,35;9,27619979807034;15,2238002019297;14
"129";"publicinvest";"cdu";"st";8,5;8,66666666666667;9;9;4,01062899400284;2,575;15,425;6,9731265701108;10,3602067632225;24
"130";"publicinvest";"fdp";"st";4;4,44444444444444;4;4;3,89993894946111;1;13,3;2,284730241003;6,60415864788589;15
"131";"publicinvest";"greens";"st";15;15,25;15;15;2,90282740210418;8,625;19;13,9629584319625;16,5370415680375;22
"132";"publicinvest";"left";"st";18;17,6923076923077;18;18;1,78929623809697;15,1;20;16,9185579764027;18,4660574082127;23
"133";"publicinvest";"spd";"st";13;13,3076923076923;13;13;3,81954615187775;5;19;11,6559966929714;14,9593879224132;23
"134";"afdcoop";"afd";"st";20;20;20;20;1,62761260962722;15,45;20;19,2155158335094;20,7844841664906;19
"135";"afdcoop";"bsw";"st";17,5;16,9;17;17;3,39549875050866;8,975;20;15,2114581962865;18,5885418037135;18
"136";"afdcoop";"cdu";"st";13,5;13,1666666666667;13;13;4,03157825031411;5,575;18,425;11,4642804749947;14,8690528583386;24
"137";"afdcoop";"fdp";"st";7;7,75;7;7;4,73472094400319;1,65;16;5,01625351624147;10,4837464837585;14
"138";"afdcoop";"greens";"st";1;1,18181818181818;1;1;1,23056316956332;1;4,5;0,62167254274316;1,7419638208932;21
"139";"afdcoop";"left";"st";1;1;1;1;2,71287371517113;1;7,94999999999999;-0,173134566376901;2,1731345663769;23
"140";"afdcoop";"spd";"st";3,5;3,91666666666667;4;4;2,86628325713718;1;10,275;2,70634139566626;5,12699193766707;24
"141";"climatepolicy";"afd";"st";20;19,75;20;20;1,74247866100506;14;20;19,0142157915335;20,4857842084665;24
"142";"climatepolicy";"bsw";"st";15,5;15,5;16;15;2,79324145075176;11;19,675;13,8872304018355;17,1127695981645;14
"143";"climatepolicy";"cdu";"st";16;16,4615384615385;16;16;2,72763633939717;11;20;15,3356255180332;17,5874514050437;25
"144";"climatepolicy";"fdp";"st";17;17,125;17;17;3,18263517649552;8,875;19,625;15,429093424844;18,820906575156;16
"145";"climatepolicy";"greens";"st";3;3,18181818181818;3;3;1,77012240631357;1;6,5;2,37606812278026;3,9875682408561;21
"146";"climatepolicy";"left";"st";6;5,69230769230769;6;6;3,88062991504593;1,55;13,45;4,01419747759412;7,37041790702127;23
"147";"climatepolicy";"spd";"st";11;11,5833333333333;11;11;2,46680865239609;8;16,425;10,541691393974;12,6249752726926;24
