sex,edu,age,geo2,Freq
1,0,1,Baden-Württemberg,373.34429468323304
1,0,1,Bayern,422.7257490932421
1,0,1,Berlin,113.4785090222593
1,0,1,HBHHSHNS,452.8158569694669
1,0,1,MVBB,109.26882239724
1,0,1,Nordrhein-Westfalen,612.7473427495478
1,0,1,RPSLHE,375.54065292237357
1,0,1,THSTSN,233.91215246846352
1,0,3,Baden-Württemberg,154.62362003549137
1,0,3,Bayern,184.09142641062644
1,0,3,Berlin,59.66773216331699
1,0,3,HBHHSHNS,200.49090126287552
1,0,3,MVBB,74.785998042734107
1,0,3,Nordrhein-Westfalen,281.207066551289
1,0,3,RPSLHE,168.38746500077184
1,0,3,THSTSN,145.21588557783957
1,0,4,Baden-Württemberg,337.6168673265476
1,0,4,Bayern,435.6110507628663
1,0,4,Berlin,105.35198353743944
1,0,4,HBHHSHNS,449.48471364010385
1,0,4,MVBB,156.60034245071782
1,0,4,Nordrhein-Westfalen,623.9853757398167
1,0,4,RPSLHE,374.99156336258847
1,0,4,THSTSN,294.56824583939374
1,0,5,Baden-Württemberg,237.02365997391257
1,0,5,Bayern,297.0208458731006
1,0,5,Berlin,66.29341285139084
1,0,5,HBHHSHNS,312.28553563512713
1,0,5,MVBB,100.73963123524439
1,0,5,Nordrhein-Westfalen,415.5143728747307
1,0,5,RPSLHE,270.22527535558646
1,0,5,THSTSN,210.81378498683588
1,1,1,Baden-Württemberg,128.26732116580536
1,1,1,Bayern,152.42726179635088
1,1,1,Berlin,56.73925451112965
1,1,1,HBHHSHNS,118.89619267880586
1,1,1,MVBB,17.97353159029978
1,1,1,Nordrhein-Westfalen,161.02966489965118
1,1,1,RPSLHE,101.80120438416229
1,1,1,THSTSN,47.51454990673954
1,1,3,Baden-Württemberg,120.87291509403231
1,1,3,Bayern,146.6435184332809
1,1,3,Berlin,50.259997705665164
1,1,3,HBHHSHNS,119.26225238532929
1,1,3,MVBB,29.687442199049123
1,1,3,Nordrhein-Westfalen,146.1310348441481
1,1,3,RPSLHE,105.68143727331052
1,1,3,THSTSN,65.96395911551976
1,1,4,Baden-Württemberg,228.93374045974502
1,1,4,Bayern,243.94218842720517
1,1,4,Berlin,66.65947255791426
1,1,4,HBHHSHNS,227.7623493988701
1,1,4,MVBB,62.413179962242616
1,1,4,Nordrhein-Westfalen,291.49334430459703
1,1,4,RPSLHE,206.0550088020315
1,1,4,THSTSN,116.07753293857556
1,1,5,Baden-Württemberg,152.7201095615696
1,1,5,Bayern,162.67693357900654
1,1,5,Berlin,42.719167751282775
1,1,5,HBHHSHNS,170.10794562143192
1,1,5,MVBB,71.85752039054677
1,1,5,Nordrhein-Westfalen,207.4460356868205
1,1,5,RPSLHE,143.23916316261312
1,1,5,THSTSN,135.44209141366431
2,0,1,Baden-Württemberg,327.7698612210677
2,0,1,Bayern,372.79520512344794
2,0,1,Berlin,100.48338944067798
2,0,1,HBHHSHNS,397.65065919638795
2,0,1,MVBB,94.33358637108459
2,0,1,Nordrhein-Westfalen,542.6469089503134
2,0,1,RPSLHE,325.50029104062247
2,0,1,THSTSN,193.6089787802353
2,0,3,Baden-Württemberg,160.15112160399497
2,0,3,Bayern,188.41093094760276
2,0,3,Berlin,54.03041268285636
2,0,3,HBHHSHNS,197.3061818161218
2,0,3,MVBB,63.877418788336286
2,0,3,Nordrhein-Westfalen,274.4715679512581
2,0,3,RPSLHE,163.95814255183853
2,0,3,THSTSN,122.88624347991113
2,0,4,Baden-Württemberg,421.22490429649605
2,0,4,Bayern,512.3371652501745
2,0,4,Berlin,105.71804324396285
2,0,4,HBHHSHNS,531.0794222241735
2,0,4,MVBB,147.4488497876324
2,0,4,Nordrhein-Westfalen,725.4205204174556
2,0,4,RPSLHE,444.5429076020377
2,0,4,THSTSN,272.0555738882036
2,0,5,Baden-Württemberg,392.2329755398414
2,0,5,Bayern,467.67788105431765
2,0,5,Berlin,98.98254464393199
2,0,5,HBHHSHNS,487.26207535332054
2,0,5,MVBB,149.0961184669878
2,0,5,Nordrhein-Westfalen,659.0538956247601
2,0,5,RPSLHE,422.1034475921523
2,0,5,THSTSN,314.92116552209575
2,1,1,Baden-Württemberg,132.95288540930508
2,1,1,Bayern,154.14774241701093
2,1,1,Berlin,66.29341285139084
2,1,1,HBHHSHNS,131.63507046582077
2,1,1,MVBB,20.79219133053009
2,1,1,Nordrhein-Westfalen,179.9915576975642
2,1,1,RPSLHE,114.72311202443892
2,1,1,THSTSN,50.772481294797956
2,1,3,Baden-Württemberg,107.80458357114634
2,1,3,Bayern,130.46367940494585
2,1,3,Berlin,53.00544550459079
2,1,3,HBHHSHNS,118.63995088423948
2,1,3,MVBB,35.03191391429102
2,1,3,Nordrhein-Westfalen,147.08279008110898
2,1,3,RPSLHE,105.4984074200488
2,1,3,THSTSN,65.63450537964869
2,1,4,Baden-Württemberg,148.2175751713316
2,1,4,Bayern,169.00976650186166
2,1,4,Berlin,65.74432329160571
2,1,4,HBHHSHNS,167.32589185185395
2,1,4,MVBB,69.47813229814456
2,1,4,Nordrhein-Westfalen,207.70227748138683
2,1,4,RPSLHE,145.2524915484919
2,1,4,THSTSN,120.946127035337
2,1,5,Baden-Württemberg,68.34334720792197
2,1,5,Bayern,81.85095037863606
2,1,5,Berlin,41.694200573017206
2,1,5,HBHHSHNS,93.05237739825262
2,1,5,MVBB,66.29341285139084
2,1,5,Nordrhein-Westfalen,108.35367313093145
2,1,5,RPSLHE,70.46649350575778
2,1,5,THSTSN,128.63338087232876
